,time,loc,op,stop
0,60736,0.0,0.0,-1
1,60737,0.0,0.2,54009
2,60738,0.0,0.2,54009
3,60739,0.0,0.2,54009
4,60740,0.0,0.2,54009
5,60741,0.0,0.2,54009
6,60742,0.0,0.2,54009
7,60743,0.0,0.2,54009
8,60744,0.0,0.2,54009
9,60745,0.0,0.2,54009
10,60746,0.0,0.2,54009
11,60747,0.0,0.2,54009
12,60748,0.0,0.2,54009
13,60749,0.0,0.2,54009
14,60750,0.0,0.2,54009
15,60751,0.0,0.2,54009
16,60752,0.0,0.2,54009
17,60753,0.0,0.2,54009
18,60754,0.0,0.2,54009
19,60755,0.0,0.2,54009
20,60756,0.0,0.2,54009
21,60757,0.0,0.2,54009
22,60758,0.0,0.2,54009
23,60759,0.0,0.2,54009
24,60760,0.0,0.2,54009
25,60761,0.0,0.2,54009
26,60762,0.0,0.2,54009
27,60763,0.0,0.2,54009
28,60764,0.0,0.2,54009
29,60765,0.0,0.2,54009
30,60766,0.0,0.2,54009
31,60767,0.0,0.2,54009
32,60768,0.0,0.2,54009
33,60769,0.0,0.2,54009
34,60770,0.0,0.2,54009
35,60771,0.0,0.2,54009
36,60772,0.0,0.2,54009
37,60773,0.0,0.2,54009
38,60774,0.0,0.2,54009
39,60775,0.0,0.2,54009
40,60776,0.0,0.2,54009
41,60777,0.0,0.2,54009
42,60778,0.0,0.2,54009
43,60779,0.0,0.2,54009
44,60780,0.0,0.2,54009
45,60781,0.0,0.2,54009
46,60782,0.0,0.2,54009
47,60783,0.0,0.2,54009
48,60784,0.0,0.2,54009
49,60785,0.0,0.2,54009
50,60786,0.0,0.2,54009
51,60787,0.0,0.2,54009
52,60788,0.0,0.2,54009
53,60789,0.0,0.2,54009
54,60790,0.0,0.2,54009
55,60791,0.0,0.2,54009
56,60792,0.0,0.2,54009
57,60793,0.0,0.2,54009
58,60794,0.0,0.2,54009
59,60795,0.0,0.2,54009
60,60796,0.0,0.2,54009
61,60797,0.0,0.2,54009
62,60798,0.0,0.2,54009
63,60799,0.0,0.2,54009
64,60800,0.0,0.2,54009
65,60801,0.0,0.2,54009
66,60802,0.0,0.2,54009
67,60803,0.0,0.2,54009
68,60804,0.0,0.2,54009
69,60805,0.0,0.2,54009
70,60806,0.0,0.2,54009
71,60807,0.0,0.2,54009
72,60808,0.0,0.2,54009
73,60809,0.0,0.2,54009
74,60810,0.005055555555555555,0.2,-1
75,60811,0.01011111111111111,0.2,-1
76,60812,0.015166666666666665,0.2,-1
77,60813,0.02022222222222222,0.2,-1
78,60814,0.025277777777777777,0.2,-1
79,60815,0.030333333333333334,0.2,-1
80,60816,0.035388888888888886,0.2,-1
81,60817,0.04044444444444444,0.2,-1
82,60818,0.0455,0.2,-1
83,60819,0.050555555555555555,0.2,-1
84,60820,0.05561111111111111,0.2,-1
85,60821,0.06066666666666667,0.2,-1
86,60822,0.06572222222222222,0.2,-1
87,60823,0.07077777777777777,0.2,-1
88,60824,0.07583333333333332,0.2,-1
89,60825,0.08088888888888887,0.2,-1
90,60826,0.08594444444444442,0.2,-1
91,60827,0.09099999999999997,0.2,-1
92,60828,0.09605555555555552,0.2,-1
93,60829,0.10111111111111107,0.2,-1
94,60830,0.10616666666666662,0.2,-1
95,60831,0.11122222222222217,0.2,-1
96,60832,0.11627777777777772,0.2,-1
97,60833,0.12133333333333327,0.2,-1
98,60834,0.12638888888888883,0.2,-1
99,60835,0.1314444444444444,0.2,-1
100,60836,0.13649999999999995,0.2,-1
101,60837,0.14155555555555552,0.2,-1
102,60838,0.14661111111111108,0.2,-1
103,60839,0.15166666666666664,0.2,-1
104,60840,0.1567222222222222,0.2,-1
105,60841,0.16177777777777777,0.2,-1
106,60842,0.16683333333333333,0.2,-1
107,60843,0.1718888888888889,0.2,-1
108,60844,0.17694444444444446,0.2,-1
109,60845,0.18200000000000002,0.2,-1
110,60846,0.18705555555555559,0.2,-1
111,60847,0.19211111111111115,0.2,-1
112,60848,0.1971666666666667,0.2,-1
113,60849,0.20222222222222228,0.2,-1
114,60850,0.20727777777777784,0.2,-1
115,60851,0.2123333333333334,0.2,-1
116,60852,0.21738888888888896,0.2,-1
117,60853,0.22244444444444453,0.2,-1
118,60854,0.2275000000000001,0.2,-1
119,60855,0.23255555555555565,0.2,-1
120,60856,0.23761111111111122,0.2,-1
121,60857,0.24266666666666678,0.2,-1
122,60858,0.24772222222222234,0.2,-1
123,60859,0.2527777777777779,0.2,-1
124,60860,0.2578333333333334,0.2,-1
125,60861,0.26288888888888895,0.2,-1
126,60862,0.2679444444444445,0.2,-1
127,60863,0.273,0.2,-1
128,60864,0.27805555555555556,0.2,-1
129,60865,0.2831111111111111,0.2,-1
130,60866,0.2881666666666666,0.2,-1
131,60867,0.29322222222222216,0.2,-1
132,60868,0.2982777777777777,0.2,-1
133,60869,0.30333333333333323,0.2,-1
134,60870,0.30838888888888877,0.2,-1
135,60871,0.3134444444444443,0.2,-1
136,60872,0.31849999999999984,0.2,-1
137,60873,0.3235555555555554,0.2,-1
138,60874,0.3286111111111109,0.2,-1
139,60875,0.33366666666666644,0.2,-1
140,60876,0.338722222222222,0.2,-1
141,60877,0.3437777777777775,0.2,-1
142,60878,0.34883333333333305,0.2,-1
143,60879,0.3538888888888886,0.2,-1
144,60880,0.3589444444444441,0.2,-1
145,60881,0.36399999999999966,0.2,-1
146,60882,0.3690555555555552,0.2,-1
147,60883,0.37411111111111073,0.2,-1
148,60884,0.37916666666666626,0.2,-1
149,60885,0.3842222222222218,0.2,-1
150,60886,0.38927777777777733,0.2,-1
151,60887,0.39433333333333287,0.2,-1
152,60888,0.3993888888888884,0.2,-1
153,60889,0.40444444444444394,0.2,-1
154,60890,0.4094999999999995,0.2,-1
155,60891,0.414555555555555,0.2,-1
156,60892,0.41961111111111055,0.2,-1
157,60893,0.4246666666666661,0.2,-1
158,60894,0.4297222222222216,0.2,-1
159,60895,0.43477777777777715,0.2,-1
160,60896,0.4398333333333327,0.2,-1
161,60897,0.4448888888888882,0.2,-1
162,60898,0.44994444444444376,0.2,-1
163,60899,0.4549999999999993,0.2,-1
164,60900,0.46005555555555483,0.2,-1
165,60901,0.46511111111111036,0.2,-1
166,60902,0.4701666666666659,0.2,-1
167,60903,0.47522222222222144,0.2,-1
168,60904,0.48027777777777697,0.2,-1
169,60905,0.4853333333333325,0.2,-1
170,60906,0.49038888888888804,0.2,-1
171,60907,0.4954444444444436,0.2,-1
172,60908,0.4954444444444436,0.23333333333333334,54339
173,60909,0.4954444444444436,0.23333333333333334,54339
174,60910,0.4954444444444436,0.23333333333333334,54339
175,60911,0.4954444444444436,0.23333333333333334,54339
176,60912,0.4954444444444436,0.23333333333333334,54339
177,60913,0.4954444444444436,0.23333333333333334,54339
178,60914,0.4954444444444436,0.23333333333333334,54339
179,60915,0.4954444444444436,0.23333333333333334,54339
180,60916,0.4954444444444436,0.23333333333333334,54339
181,60917,0.4954444444444436,0.23333333333333334,54339
182,60918,0.4954444444444436,0.23333333333333334,54339
183,60919,0.4954444444444436,0.23333333333333334,54339
184,60920,0.4954444444444436,0.23333333333333334,54339
185,60921,0.5004999999999992,0.23333333333333334,-1
186,60922,0.5055555555555548,0.23333333333333334,-1
187,60923,0.5106111111111103,0.23333333333333334,-1
188,60924,0.5156666666666659,0.23333333333333334,-1
189,60925,0.5207222222222215,0.23333333333333334,-1
190,60926,0.5257777777777771,0.23333333333333334,-1
191,60927,0.5308333333333327,0.23333333333333334,-1
192,60928,0.5358888888888883,0.23333333333333334,-1
193,60929,0.5409444444444439,0.23333333333333334,-1
194,60930,0.5459999999999995,0.23333333333333334,-1
195,60931,0.5510555555555551,0.23333333333333334,-1
196,60932,0.5561111111111107,0.23333333333333334,-1
197,60933,0.5611666666666663,0.23333333333333334,-1
198,60934,0.5662222222222218,0.23333333333333334,-1
199,60935,0.5712777777777774,0.23333333333333334,-1
200,60936,0.576333333333333,0.23333333333333334,-1
201,60937,0.5813888888888886,0.23333333333333334,-1
202,60938,0.5864444444444442,0.23333333333333334,-1
203,60939,0.5914999999999998,0.23333333333333334,-1
204,60940,0.5965555555555554,0.23333333333333334,-1
205,60941,0.601611111111111,0.23333333333333334,-1
206,60942,0.6066666666666666,0.23333333333333334,-1
207,60943,0.6117222222222222,0.23333333333333334,-1
208,60944,0.6167777777777778,0.23333333333333334,-1
209,60945,0.6218333333333333,0.23333333333333334,-1
210,60946,0.6268888888888889,0.23333333333333334,-1
211,60947,0.6319444444444445,0.23333333333333334,-1
