,time,loc,op,status
0,64779,0.0,0.0,0
1,64780,0.0,0.225,0
2,64781,0.0,0.225,0
3,64782,0.0,0.225,0
4,64783,0.0,0.225,0
5,64784,0.0,0.225,0
6,64785,0.0,0.225,0
7,64786,0.0,0.225,0
8,64787,0.0,0.225,0
9,64788,0.0,0.225,0
10,64789,0.0,0.225,0
11,64790,0.0,0.225,0
12,64791,0.0,0.225,0
13,64792,0.0,0.225,0
14,64793,0.0,0.225,0
15,64794,0.0,0.225,0
16,64795,0.0,0.225,0
17,64796,0.0,0.225,0
18,64797,0.0,0.225,0
19,64798,0.0,0.225,0
20,64799,0.0,0.225,0
21,64800,0.0,0.225,0
22,64801,0.0,0.225,0
23,64802,0.0,0.225,0
24,64803,0.0,0.225,0
25,64804,0.0,0.225,0
26,64805,0.0,0.225,0
27,64806,0.0,0.225,0
28,64807,0.0,0.225,0
29,64808,0.0,0.225,0
30,64809,0.0,0.225,0
31,64810,0.0,0.225,0
32,64811,0.0,0.225,0
33,64812,0.0,0.225,0
34,64813,0.0,0.225,0
35,64814,0.0,0.225,0
36,64815,0.0,0.225,0
37,64816,0.0,0.225,0
38,64817,0.0,0.225,0
39,64818,0.0,0.225,0
40,64819,0.0,0.225,0
41,64820,0.0,0.225,0
42,64821,0.0,0.225,0
43,64822,0.0,0.225,0
44,64823,0.0,0.225,0
45,64824,0.0,0.225,0
46,64825,0.0,0.225,0
47,64826,0.0,0.225,0
48,64827,0.0,0.225,0
49,64828,0.0,0.225,0
50,64829,0.0,0.225,0
51,64830,0.0,0.225,0
52,64831,0.0,0.225,0
53,64832,0.0,0.225,0
54,64833,0.0,0.225,0
55,64834,0.0,0.225,0
56,64835,0.0,0.225,0
57,64836,0.0,0.225,0
58,64837,0.0,0.225,0
59,64838,0.0,0.225,0
60,64839,0.0,0.225,0
61,64840,0.0,0.225,0
62,64841,0.0,0.225,0
63,64842,0.0,0.225,0
64,64843,0.0,0.225,0
65,64844,0.0,0.225,0
66,64845,0.0,0.225,0
67,64846,0.0,0.225,0
68,64847,0.0,0.225,0
69,64848,0.0,0.225,0
70,64849,0.0,0.225,0
71,64850,0.0,0.225,0
72,64851,0.0,0.225,0
73,64852,0.0,0.225,0
74,64853,0.0,0.225,0
75,64854,0.0,0.225,0
76,64855,0.0,0.225,0
77,64856,0.0,0.225,0
78,64857,0.0,0.225,0
79,64858,0.0,0.225,0
80,64859,0.0,0.225,0
81,64860,0.0,0.225,0
82,64861,0.0,0.225,0
83,64862,0.0,0.225,0
84,64863,0.0,0.225,0
85,64864,0.0,0.225,0
86,64865,0.0,0.225,0
87,64866,0.0,0.225,0
88,64867,0.0,0.225,0
89,64868,0.0,0.225,0
90,64869,0.0,0.225,0
91,64870,0.0,0.225,0
92,64871,0.0,0.225,0
93,64872,0.0,0.225,0
94,64873,0.0,0.225,0
95,64874,0.0,0.225,0
96,64875,0.0,0.225,0
97,64876,0.0,0.225,0
98,64877,0.0,0.225,0
99,64878,0.0,0.225,0
100,64879,0.0,0.225,0
101,64880,0.0,0.225,0
102,64881,0.0,0.225,0
103,64882,0.0,0.225,0
104,64883,0.0,0.225,0
105,64884,0.0,0.225,0
106,64885,0.0,0.225,0
107,64886,0.0,0.225,0
108,64887,0.0,0.225,0
109,64888,0.005819059857137799,0.225,0
110,64889,0.011638119714275598,0.225,0
111,64890,0.017457179571413396,0.225,0
112,64891,0.023276239428551195,0.225,0
113,64892,0.029095299285688995,0.225,0
114,64893,0.03491435914282679,0.225,0
115,64894,0.04073341899996459,0.225,0
116,64895,0.04655247885710239,0.225,0
117,64896,0.05237153871424019,0.225,0
118,64897,0.05819059857137799,0.225,0
119,64898,0.06400965842851579,0.225,0
120,64899,0.06982871828565358,0.225,0
121,64900,0.07564777814279137,0.225,0
122,64901,0.08146683799992917,0.225,0
123,64902,0.08728589785706696,0.225,0
124,64903,0.09310495771420475,0.225,0
125,64904,0.09892401757134255,0.225,0
126,64905,0.10474307742848034,0.225,0
127,64906,0.11056213728561813,0.225,0
128,64907,0.11638119714275592,0.225,0
129,64908,0.12220025699989372,0.225,0
130,64909,0.12801931685703152,0.225,0
131,64910,0.13383837671416932,0.225,0
132,64911,0.1396574365713071,0.225,0
133,64912,0.1454764964284449,0.225,0
134,64913,0.1512955562855827,0.225,0
135,64914,0.1571146161427205,0.225,0
136,64915,0.16293367599985828,0.225,0
137,64916,0.16875273585699607,0.225,0
138,64917,0.17457179571413386,0.225,0
139,64918,0.18039085557127166,0.225,0
140,64919,0.18620991542840945,0.225,0
141,64920,0.19202897528554724,0.225,0
142,64921,0.19784803514268504,0.225,0
143,64922,0.20366709499982283,0.225,0
144,64923,0.20948615485696062,0.225,0
145,64924,0.21530521471409841,0.225,0
146,64925,0.2211242745712362,0.225,0
147,64926,0.226943334428374,0.225,0
148,64927,0.2327623942855118,0.225,0
149,64928,0.23858145414264958,0.225,0
150,64929,0.24440051399978738,0.225,0
151,64930,0.25021957385692517,0.225,0
152,64931,0.256038633714063,0.225,0
153,64932,0.2618576935712008,0.225,0
154,64933,0.26767675342833863,0.225,0
155,64934,0.27349581328547645,0.225,0
156,64935,0.2793148731426143,0.225,0
157,64936,0.2851339329997521,0.225,0
158,64937,0.2909529928568899,0.225,0
159,64938,0.29677205271402773,0.225,0
160,64939,0.30259111257116555,0.225,0
161,64940,0.3084101724283034,0.225,0
162,64941,0.3142292322854412,0.225,0
163,64942,0.320048292142579,0.225,0
164,64943,0.32586735199971684,0.225,0
165,64944,0.33168641185685466,0.225,0
166,64945,0.3375054717139925,0.225,0
167,64946,0.3433245315711303,0.225,0
168,64947,0.3491435914282681,0.225,0
169,64948,0.35496265128540594,0.225,0
170,64949,0.36078171114254376,0.225,0
171,64950,0.3666007709996816,0.225,0
172,64951,0.3724198308568194,0.225,0
173,64952,0.3782388907139572,0.225,0
174,64953,0.38405795057109504,0.225,0
175,64954,0.38987701042823286,0.225,0
176,64955,0.3956960702853707,0.225,0
177,64956,0.4015151301425085,0.225,0
178,64957,0.4073341899996463,0.225,0
179,64958,0.41315324985678414,0.225,0
180,64959,0.41897230971392196,0.225,0
181,64960,0.4247913695710598,0.225,0
182,64961,0.4306104294281976,0.225,0
183,64962,0.4364294892853354,0.225,0
184,64963,0.44224854914247325,0.225,0
185,64964,0.44806760899961107,0.225,0
186,64965,0.4538866688567489,0.225,0
187,64966,0.4597057287138867,0.225,0
188,64967,0.46552478857102453,0.225,0
189,64968,0.47134384842816235,0.225,0
190,64969,0.47716290828530017,0.225,0
191,64970,0.482981968142438,0.225,0
192,64971,0.4888010279995758,0.225,0
193,64972,0.49462008785671363,0.225,0
194,64973,0.49462008785671363,0.23333333333333334,0
195,64974,0.49462008785671363,0.23333333333333334,0
196,64975,0.49462008785671363,0.23333333333333334,0
197,64976,0.49462008785671363,0.23333333333333334,0
198,64977,0.49462008785671363,0.23333333333333334,0
199,64978,0.49462008785671363,0.23333333333333334,0
200,64979,0.49462008785671363,0.23333333333333334,0
201,64980,0.49462008785671363,0.23333333333333334,0
202,64981,0.49462008785671363,0.23333333333333334,0
203,64982,0.49462008785671363,0.23333333333333334,0
204,64983,0.49462008785671363,0.23333333333333334,0
205,64984,0.49462008785671363,0.23333333333333334,0
206,64985,0.49462008785671363,0.23333333333333334,0
207,64986,0.49462008785671363,0.23333333333333334,0
208,64987,0.49462008785671363,0.23333333333333334,0
209,64988,0.5002656349328789,0.23333333333333334,0
210,64989,0.5059111820090442,0.23333333333333334,0
211,64990,0.5115567290852094,0.23333333333333334,0
212,64991,0.5172022761613747,0.23333333333333334,0
213,64992,0.52284782323754,0.23333333333333334,0
214,64993,0.5284933703137052,0.23333333333333334,0
215,64994,0.5341389173898705,0.23333333333333334,0
216,64995,0.5397844644660358,0.23333333333333334,0
217,64996,0.545430011542201,0.23333333333333334,0
218,64997,0.5510755586183663,0.23333333333333334,0
219,64998,0.5567211056945316,0.23333333333333334,0
220,64999,0.5623666527706969,0.23333333333333334,0
221,65000,0.5680121998468621,0.23333333333333334,0
222,65001,0.5736577469230274,0.23333333333333334,0
223,65002,0.5793032939991927,0.23333333333333334,0
224,65003,0.5849488410753579,0.23333333333333334,0
225,65004,0.5905943881515232,0.23333333333333334,0
226,65005,0.5962399352276885,0.23333333333333334,0
227,65006,0.6018854823038537,0.23333333333333334,0
228,65007,0.607531029380019,0.23333333333333334,0
229,65008,0.6131765764561843,0.23333333333333334,0
230,65009,0.6188221235323496,0.23333333333333334,0
231,65010,0.6244676706085148,0.23333333333333334,0
232,65011,0.6301132176846801,0.23333333333333334,0
233,65012,0.6357587647608454,0.23333333333333334,0
234,65013,0.6414043118370106,0.23333333333333334,0
235,65014,0.6470498589131759,0.23333333333333334,0
236,65015,0.6526954059893412,0.23333333333333334,0
237,65016,0.6583409530655064,0.23333333333333334,0
238,65017,0.6639865001416717,0.23333333333333334,0
239,65018,0.669632047217837,0.23333333333333334,0
240,65019,0.6752775942940022,0.23333333333333334,0
241,65020,0.6809231413701675,0.23333333333333334,0
242,65021,0.6865686884463328,0.23333333333333334,0
243,65022,0.6922142355224981,0.23333333333333334,0
244,65023,0.6978597825986633,0.23333333333333334,0
245,65024,0.7035053296748286,0.23333333333333334,0
246,65025,0.7091508767509939,0.23333333333333334,0
247,65026,0.7147964238271591,0.23333333333333334,0
248,65027,0.7204419709033244,0.23333333333333334,0
249,65028,0.7260875179794897,0.23333333333333334,0
250,65029,0.7317330650556549,0.23333333333333334,0
251,65030,0.7373786121318202,0.23333333333333334,0
252,65031,0.7430241592079855,0.23333333333333334,0
253,65032,0.7486697062841507,0.23333333333333334,0
254,65033,0.754315253360316,0.23333333333333334,0
255,65034,0.7599608004364813,0.23333333333333334,0
256,65035,0.7656063475126466,0.23333333333333334,0
257,65036,0.7712518945888118,0.23333333333333334,0
258,65037,0.7768974416649771,0.23333333333333334,0
259,65038,0.7825429887411424,0.23333333333333334,0
260,65039,0.7881885358173076,0.23333333333333334,0
261,65040,0.7938340828934729,0.23333333333333334,0
262,65041,0.7994796299696382,0.23333333333333334,0
263,65042,0.8051251770458034,0.23333333333333334,0
264,65043,0.8107707241219687,0.23333333333333334,0
265,65044,0.816416271198134,0.23333333333333334,0
266,65045,0.8220618182742992,0.23333333333333334,0
267,65046,0.8277073653504645,0.23333333333333334,0
268,65047,0.8333529124266298,0.23333333333333334,0
269,65048,0.8389984595027951,0.23333333333333334,0
270,65049,0.8446440065789603,0.23333333333333334,0
271,65050,0.8502895536551256,0.23333333333333334,0
272,65051,0.8559351007312909,0.23333333333333334,0
273,65052,0.8615806478074561,0.23333333333333334,0
274,65053,0.8672261948836214,0.23333333333333334,0
275,65054,0.8728717419597867,0.23333333333333334,0
276,65055,0.8785172890359519,0.23333333333333334,0
277,65056,0.8841628361121172,0.23333333333333334,0
278,65057,0.8898083831882825,0.23333333333333334,0
279,65058,0.8954539302644478,0.23333333333333334,0
280,65059,0.8954539302644478,0.24166666666666667,0
281,65060,0.8954539302644478,0.24166666666666667,0
282,65061,0.8954539302644478,0.24166666666666667,0
283,65062,0.8954539302644478,0.24166666666666667,0
284,65063,0.8954539302644478,0.24166666666666667,0
285,65064,0.8954539302644478,0.24166666666666667,0
286,65065,0.8954539302644478,0.24166666666666667,0
287,65066,0.8954539302644478,0.24166666666666667,0
