,trip_id,shape_id,route_id
0,5622,22_1,22_1
1,7559,22_1,22_1
2,7560,22_1,22_1
3,7561,22_1,22_1
4,7562,22_1,22_1
5,7563,22_1,22_1
6,2217,22_1,22_1
7,16227,22_1,22_1
8,2212,22_1,22_1
9,2213,22_1,22_1
10,7590,22_1,22_1
11,7591,22_1,22_1
12,7592,22_1,22_1
13,7593,22_1,22_1
14,7594,22_1,22_1
15,5619,22_1,22_1
16,5620,22_1,22_1
17,10426,22_1,22_1
18,10427,22_1,22_1
19,10428,22_1,22_1
20,10429,22_1,22_1
21,2214,22_1,22_1
22,6261,22_1,22_1
23,10432,22_1,22_1
24,20342,22_1,22_1
25,7589,22_1,22_1
26,20343,22_1,22_1
27,16226,22_1,22_1
28,2257,22_1,22_1
29,2258,22_1,22_1
30,2259,22_1,22_1
31,2260,22_1,22_1
32,2261,22_1,22_1
33,2262,22_1,22_1
34,6265,22_1,22_1
35,6264,22_1,22_1
36,16223,22_1,22_1
37,16224,22_1,22_1
38,16225,22_1,22_1
39,5602,22_1,22_1
40,5603,22_1,22_1
41,5604,22_1,22_1
42,5605,22_1,22_1
43,5606,22_1,22_1
44,5607,22_1,22_1
45,5608,22_1,22_1
46,2215,22_1,22_1
47,5623,22_1,22_1
48,2216,22_1,22_1
49,5618,22_1,22_1
50,6259,22_1,22_1
51,6260,22_1,22_1
52,5621,22_1,22_1
53,6262,22_1,22_1
54,6263,22_1,22_1
55,20344,22_1,22_1
56,20345,22_1,22_1
57,20346,22_1,22_1
58,10431,22_1,22_1
